"","TP","Site","Transect_ID","PQ","Category","Total_cover"
"487","April_2022","CB","CB3","5","Plating Acropora",0
"488","April_2022","CB","CB3","5","Plating Montipora",0
"489","April_2022","CB","CB3","5","Platygyra",4
"490","April_2022","CB","CB3","5","Pocilloporidae",0
"491","April_2022","CB","CB3","5","Porites",0
"492","April_2022","CB","CB3","5","Red Turf",0
"493","April_2022","CB","CB3","5","Rubble and Rock",0
"494","April_2022","CB","CB3","5","Sand",95
"495","April_2022","CB","CB3","6","Acanthastrea",0
"496","April_2022","CB","CB3","6","Black Turf",0
"497","April_2022","CB","CB3","6","Branching Acropora",0
"498","April_2022","CB","CB3","6","Encrusting Montipora",26
"499","April_2022","CB","CB3","6","Goniopora",0
"500","April_2022","CB","CB3","6","Green Turf",0
"501","April_2022","CB","CB3","6","Macroalgae",14
"502","April_2022","CB","CB3","6","Other",0
"503","April_2022","CB","CB3","6","Other Turf",2
"504","April_2022","CB","CB3","6","Other benthic invertebrates",0
"505","April_2022","CB","CB3","6","Other hard coral",0
"506","April_2022","CB","CB3","6","Plating Acropora",0
"507","April_2022","CB","CB3","6","Plating Montipora",0
"508","April_2022","CB","CB3","6","Platygyra",0
"509","April_2022","CB","CB3","6","Pocilloporidae",1
"510","April_2022","CB","CB3","6","Porites",0
"511","April_2022","CB","CB3","6","Red Turf",0
"512","April_2022","CB","CB3","6","Rubble and Rock",0
"513","April_2022","CB","CB3","6","Sand",57
"514","April_2022","CB","CB3","7","Acanthastrea",0
"515","April_2022","CB","CB3","7","Black Turf",0
"516","April_2022","CB","CB3","7","Branching Acropora",0
"517","April_2022","CB","CB3","7","Encrusting Montipora",2
"518","April_2022","CB","CB3","7","Goniopora",0
"519","April_2022","CB","CB3","7","Green Turf",0
"520","April_2022","CB","CB3","7","Macroalgae",14
"521","April_2022","CB","CB3","7","Other",0
"522","April_2022","CB","CB3","7","Other Turf",4
"523","April_2022","CB","CB3","7","Other benthic invertebrates",0
"524","April_2022","CB","CB3","7","Other hard coral",0
"525","April_2022","CB","CB3","7","Plating Acropora",0
"526","April_2022","CB","CB3","7","Plating Montipora",0
"527","April_2022","CB","CB3","7","Platygyra",0
"528","April_2022","CB","CB3","7","Pocilloporidae",0
"529","April_2022","CB","CB3","7","Porites",0
"530","April_2022","CB","CB3","7","Red Turf",0
"531","April_2022","CB","CB3","7","Rubble and Rock",4
